refname	commit_sha
refs/archive/2026-07-16/pre-pr199-rebase/codex/d1l-review-fixes	26aea924da7992d02a4fbd2dad3c3178b6e53e02
refs/codex-review/pr-139	d4a4251a3f3b6c272443b177773e3850281a1199
refs/codex-review/pr-140	973ca3cd9f23413a00c0ed890b38c4d31abe3f30
refs/codex-review/pr-141	410935cef57b68dea1ce3b20034aef48acf29b67
refs/codex-review/pr-142	cb3dac34b261c66e2a5b80ed6d3d1b2684311bb7
refs/codex/turn-diffs/captures/1784745217139/8ddca02a-fa7f-4a0e-99fa-3e6e1e1ea424/base	10a37101ce4a2a48529c71e09302c5b9669d9f17
refs/codex/turn-diffs/checkpoints/019bd1fb4ea795c36f3a0ca279c9f3a3a73516ae74823f8cfbb3a80d8a85a1ee/2fd199befc48f275c170cfecf452634772097ab45284a59cf7d46e2894916214/1784455026066/b25e8ae5-59bf-41dc-a4ff-de1e0ffa7f79	d0ef72858aa4b63105ba00cc60b454547846c10c
refs/codex/turn-diffs/checkpoints/100942ca43088310f675dc86cb4bc51086bdb282020c249978680e00e00435ce/a7b6d9b6900637449b74d11c0c65a085b7433a9eca3a456e91c8f8c80f63c6a5/1784294701236/71c0072d-0aab-497f-a3e7-7874b63b5a8f	9e0c592dfc191fee33368107e21a330f69e4d435
refs/codex/turn-diffs/checkpoints/1032dd9c14bccba1fe8be586de5ab23106be17c46834d8c7bfe1a85bf0aaf16a/aed57d177edd506f51a1c316fb056e23d2dc2c4a1f2e21487dfdebae4092041e/1784494909233/23943c23-c274-4de6-adf6-aefd7f4d0a8c	b16ba60552938482ec41a1d788151a1588dc631f
refs/codex/turn-diffs/checkpoints/114bce9bbcff4b44bf3d6cb6b1a1fc9120878fa14720c37bbffd340e3fd04807/b73d058457013f3c8a805091ec0e5d897413175978d5487c72a660a0c45e3dcd/1784385844938/31363fb3-4bcc-4eef-a877-c4b69fc26e88	79b7b6760d95abe3881ac0295339bdc7e066991a
